Power_mean,Amplitude_mean,Weighted_Mean_Frequency_mean,Power_std,Amplitude_std,Weighted_Mean_Frequency_std,Power_median,Amplitude_median,Weighted_Mean_Frequency_median,Genre
22803789160.327522,511.4745329337189,55191.874914476655,5518588301.3942795,0.4832333237058798,11567.712587869959,23118071661.932365,511.6220376106548,56394.31329740269,country
19619874983.12213,511.57672301694896,57545.28140216612,5346275025.875239,0.3870434573925668,7996.315917509469,19421346219.1719,511.69987766948213,56828.067049927835,country
8471862146.278592,511.0122123445685,24797.05691944662,4715806169.813092,0.9650048468352826,9592.541811708572,8265617740.950901,511.28977322063395,23479.151031031994,country
16093302559.771835,511.466118917705,43517.965692501115,8553799009.979069,0.440990208488511,12285.830134444666,14747104932.011654,511.5647579319732,43178.1705900993,country
16357820872.864653,511.4623500210873,51825.14713954631,6008615311.483531,0.4091085380388021,8038.026422172855,15397042152.353027,511.555774039047,51516.83403101057,country
15766644223.484959,511.38288128795756,50423.247482346014,7050286546.652813,0.5476291455725728,10267.628482155706,15335865776.680616,511.54258601760955,50271.5550074701,country
17442807177.004147,511.583292563044,52222.88391760414,8706224257.516375,0.3923979306276384,10827.111070375053,16044158360.824627,511.6904602687845,52053.144243093324,country
22146683394.106834,511.3652902174545,54626.303170844985,5848503739.604536,0.5560094107570058,11013.143763399179,21910066337.910843,511.51683274840104,54560.951822959556,country
28101619838.69201,511.3479835320649,57738.853769529465,7953533383.352514,0.5895780209334207,9875.742702343949,28147191659.923103,511.5531951809178,57560.090428327996,country
21067534338.782692,511.60558362551933,67586.91049162038,8559428033.259434,0.3255185118253976,7449.484543952629,19557242353.634254,511.69302169795964,67316.06471718577,country
2465132878.391767,511.47530632854614,13262.926237469008,2410869925.4499445,0.6299566012261895,7195.02442502378,1833362271.2098527,511.70757601532927,11792.160968544145,country
2923772351.261259,511.3590739443311,14750.866438251385,3152415357.0431905,0.7226324736161613,9535.724936337938,1894557749.4074183,511.6086890296567,12876.440255282994,country
6620653962.136394,511.62418256408574,21548.84505498614,4593711125.139921,0.43459296451953056,7993.916608256367,5978113905.79817,511.76218936849637,21706.16101823475,country
2756635739.8286815,511.7357613780337,19560.270495608267,2963223597.000934,0.23397797161673853,9453.019132122905,1714518922.3313296,511.7991145792846,17543.34728104683,country
3529729204.406598,511.656164417205,21614.419789076645,3194346538.249211,0.3356498712349549,10271.593596691962,2518034463.5507092,511.75475502910126,19354.583762645932,country
4273862566.9042726,511.8225384876956,23028.22185562445,1736386572.7882414,0.1617768386384012,7104.062703124225,4421798853.940418,511.8683538473415,23288.96072993434,country
2619972052.2998166,511.81482048256515,13439.639174302516,2050398542.1697378,0.17483103375257225,5722.393150199164,2037268747.275032,511.86513079514356,12140.626810027883,country
2985182288.2137194,511.47240803331965,16183.177543192714,1502822000.742941,0.4486910949371376,4927.9011899779625,2682880187.7127,511.6004310307049,16513.60145772578,country
