Power_mean,Amplitude_mean,Weighted_Mean_Frequency_mean,Power_std,Amplitude_std,Weighted_Mean_Frequency_std,Power_median,Amplitude_median,Weighted_Mean_Frequency_median,Genre
7937967770.380582,503.5880469467474,37536.06311817512,8300326905.605982,12.79432572073914,24317.16798446989,4438751601.111185,507.2347587723476,33006.60013328079,hiphop
39156054856.31034,511.68709289019563,53248.14817583491,27297335950.85303,0.3002055955245116,26574.987716222793,35742697238.66611,511.76567582317915,51227.62812999706,hiphop
4304170383.692144,509.78401158213074,16087.01007671443,3944616052.7711325,1.7489260938754831,8606.724175510877,3023408035.018209,510.27482675991865,14644.788540213205,hiphop
36825983206.015015,510.0470003268142,63210.75741331355,40047555835.23537,2.473978396822428,38382.41036537262,19077839135.64497,511.1974283775537,51732.82132222268,hiphop
24179185512.2743,511.4744253999107,34950.77232472229,31986127975.461365,0.9556404008055829,29092.42414581526,10180022308.60654,511.7882832652922,29142.87363753918,hiphop
32043091153.06812,511.43773807033966,69385.80964579819,21905515014.710636,0.4607221884712118,23583.18669141527,27738981767.7694,511.53745523712934,67464.57438828459,hiphop
38870608356.42345,510.19757284677587,59529.39577582967,37307645170.72729,2.674548293920636,39657.31691147301,25168585287.178535,511.23172601547355,52260.383490716486,hiphop
34746863252.78144,511.10823745506127,53249.09040165791,27891593634.46345,1.2575842653745832,28516.849370647156,27664769351.73826,511.622881121909,47594.82047851516,hiphop
12168735222.5176,511.55406704916396,36243.48393402361,15987152263.85727,0.5860654394295661,22589.143810619928,5886114930.558124,511.71772870766665,31839.230407106545,hiphop
24541046676.115826,510.1871944741107,41483.663341402236,25427183677.675983,1.7559710428174613,28656.628652330008,19328231862.823868,510.6780186744489,37164.83454779406,hiphop
15271822811.643253,511.646601762222,39754.24563138694,20933080969.500717,0.4206216277073123,16765.75053016855,7819531171.232977,511.7883285459055,36009.96339792146,hiphop
20965560989.27858,511.6248791870565,43419.24809001522,22497258481.92569,0.34263240050618743,22326.646546363212,13373328947.693134,511.7290184910499,39384.17662055371,hiphop
19563064784.623394,511.5282090495022,44462.00375407483,18137045747.182537,0.4116850333873666,17997.460998946648,13430808315.402714,511.6325699055049,40476.54942789131,hiphop
8500431470.155587,509.63498396917555,29762.4006602869,5425325775.93095,2.417970062424609,13552.949871312907,7351968000.8662815,510.4684264723309,25473.473418702153,hiphop
16747881094.641695,511.7520758983467,52675.65570009561,12906660005.136858,0.4667987720357208,21326.097994034506,12637953143.88987,511.8363628665772,50647.738680744056,hiphop
10346492941.68121,511.6717759996839,34711.18587195061,14006738553.081041,0.40884527822518957,18034.23339014905,4889392502.641165,511.76769443902316,30059.77503393543,hiphop
22698163473.500347,511.7777279351454,41859.76043171862,25226716181.76076,0.251282667514011,28487.257578116256,13478204545.688604,511.8496970557151,35811.69326870033,hiphop
18279572585.52799,511.4333346580181,39786.15900172486,17975485448.113773,0.8087853146742087,18902.019863177902,12469601623.654213,511.71583114710864,36615.49112979433,hiphop
15248012720.119682,511.66095612387716,34801.668265421504,18318303323.243633,0.4610778397965106,21513.86522855286,7417732725.416176,511.7984457646714,31486.304645681143,hiphop
27514946747.871807,510.4246280979635,51886.90954452306,41226449983.69168,1.041885428297577,47988.37729779269,15060365682.093409,510.71493827746355,38093.83744073945,hiphop
15969837895.258965,511.7777280283374,35247.21570216114,13916626817.691599,0.22351838402068655,20873.24994552368,11515050740.05682,511.8311518088512,30710.38621313575,hiphop
26975806917.09717,511.5442807654344,61628.30034498887,19536339796.467587,0.9610443104357927,22577.08451633252,22538920876.951935,511.68714905158254,57821.321749798866,hiphop
15209602024.154102,511.5156311421324,35526.48499952297,20109831946.065758,1.141925164964466,21220.161776068133,9451918772.44543,511.69154137665515,32436.246541443536,hiphop
17281716290.1337,511.6696120052384,50166.916645915146,13723252703.718931,0.3622836151460287,16923.351268896233,12563469181.118107,511.7780217560014,46239.45743077261,hiphop
17072648980.567371,510.5988871969896,46330.739396368444,21918872916.486187,1.160093735607629,29071.809150538225,9516643759.18135,510.9439580055143,41572.7318566613,hiphop
30855243005.7644,511.48366220755264,57451.83869240104,24233746466.62715,0.7445932899925646,24137.0983091261,26772530391.237312,511.63841333927996,52602.12810737452,hiphop
14677937179.066442,511.17220149325027,37183.75413342092,16564599491.85794,1.181588580106523,17638.232807532266,8073593998.714554,511.50854709890524,36139.10276980013,hiphop
8708446707.962208,511.15296486952434,29267.619753803323,6026316699.740909,1.0953641279412687,14806.94524226257,7902468417.614113,511.4241870760514,26794.803626192566,hiphop
11033479102.003054,510.45919811725196,37154.44226426729,6055603934.78365,1.6283026097512827,14321.135211921157,10765300232.888561,510.86623752453306,37181.881092274314,hiphop
13521979905.822184,511.39649483203743,40633.32823161873,9896695261.011038,0.6613210191751633,19989.691075557304,11422324626.372133,511.58644284632067,34987.77404729996,hiphop
16838407314.174458,511.6176913493755,58658.88384258525,8670785836.739994,0.39283563531046156,17380.693344885636,15878226521.67499,511.7187327811236,59565.17518385227,hiphop
21483608803.175617,511.6158384652039,56366.11209448133,13842004902.579971,0.33269856232430645,17528.139826392493,18352594073.302048,511.6916756776054,56453.48097408017,hiphop
10178282040.082867,510.2461919035886,22975.679319364415,12613654641.421558,2.3741654918649675,13815.164305759325,5973926234.35438,511.00085278156877,20431.751159431697,hiphop
21467284909.573757,511.209134954537,57477.71938938118,13140841326.173859,0.9988815117263021,20208.013484714378,20441583544.293648,511.5872626239525,59172.147204083885,hiphop
23919863994.024036,511.52547471309043,71604.96951876505,12896073839.855688,0.3989109472932522,20045.21824743616,23089080148.62094,511.63235739442564,72981.19087920414,hiphop
19803622545.6545,510.96648418019487,33766.97181174191,18586239636.09228,1.4008745697937268,17096.75414671199,17282205701.92978,511.3528033929606,31160.55492080117,hiphop
5311999528.201139,506.2289638932386,20033.888689115287,6221278163.646818,35.23138525031371,21084.663911175183,3343291165.048362,511.7486202295893,16155.276325407442,hiphop
18403672120.736656,509.48284892856617,40361.50530004543,37951946811.78963,23.646195667698493,26775.955403746924,5020079302.460817,511.902963335762,36777.492805398404,hiphop
40225834633.30676,486.6845436956227,63371.9878434717,39921608120.51642,77.0444270054303,38268.92455056574,31161664144.127434,511.122877736762,62154.76613960738,hiphop
19011183092.379498,511.01955554513086,37152.679967267,20819067904.40145,10.700063217380386,26522.444241961915,12884256608.226553,511.8497152395373,32307.242726215605,hiphop
12108979940.307928,511.1170217837307,24033.472391359664,23538129881.038895,13.580999978546958,18988.171148704023,5139151597.991012,511.8749736192658,19516.584294018598,hiphop
20234570609.932922,510.93055002414224,41286.61634687185,29676041746.68354,9.967454123927645,24690.32321718572,9778367923.390625,511.812164104109,38629.18349353445,hiphop
30853727226.153168,511.3229893745771,49369.3542756826,26102727161.003384,9.606605013434791,25905.257285158583,26645380646.52188,511.74874394774076,47193.33846749054,hiphop
11603807684.887482,510.6270777982418,22923.614496079044,22582759296.03374,9.747129301987815,14611.925539726508,5022897274.165228,511.4907365188435,18909.017254496724,hiphop
1150451419.5681612,510.43646921829196,8037.66437940008,2080826808.2538817,11.942442836092221,5467.4275563684705,355076579.589097,511.5444833274492,7320.170489213478,hiphop
19011183092.379498,511.01955554513086,37152.679967267,20819067904.40145,10.700063217380386,26522.444241961915,12884256608.226553,511.8497152395373,32307.242726215605,hiphop
30591806514.72501,511.6879510042155,43570.52872988703,47056116223.300606,0.37320480531488837,29651.98701462484,10124714726.482832,511.80701694695523,35847.85526103751,hiphop
32985691964.542747,511.67324137505125,48130.71982782207,38527281831.75751,0.44212652941921704,29250.011160167036,19466143083.29997,511.8275168748234,41912.44771248703,hiphop
28574294766.49354,511.64202521235467,45445.58335731796,33170491973.056915,0.4197459859183033,29783.35314072365,15641089645.901054,511.774814924853,40180.211077848544,hiphop
39081128801.1571,511.8141910714236,61301.298525527534,28724705452.77194,0.1750992727962563,23780.818710958683,31720000306.79068,511.86307180514007,57535.33828480574,hiphop
37339317440.2564,511.6293486796755,40205.33557431856,37715155707.77062,0.47963345604042806,20276.790412311384,25783881649.288612,511.7864524958887,35820.62099061001,hiphop
29603342270.792694,511.734156005287,49466.897601524885,22561500032.497368,0.2924759639272287,29900.529367384348,26465050839.72984,511.82905997059663,43369.84779265025,hiphop
5985280767.886516,511.800749935073,22205.908620861082,6769990770.638845,0.21488832586879367,14767.764047009081,3521007656.54224,511.8646790998128,18004.878729174285,hiphop
5801677969.657873,511.71316382650485,23552.814649062635,5847391958.440267,0.3736867362001097,13811.327093845963,3838273901.4233828,511.8369441154995,20599.786479988317,hiphop
7537906750.513883,511.85537168769577,29136.535296040132,7108600286.998334,0.13941965403825207,14154.105273612722,5342003978.955147,511.8940700990888,26235.94724324944,hiphop
10008127231.890987,511.6394197763229,21420.020843526334,11689322821.095165,0.33707107194583824,10776.207382222005,5874937181.326637,511.73920441431784,19626.169476049126,hiphop
13080737452.265673,511.76168017458616,31625.832461487757,11588408175.894363,0.23308659397176712,14215.095923198476,8940456917.952248,511.8229723867325,29298.13609876753,hiphop
23791551759.332424,511.45264923773175,33592.88861599109,18377635634.174824,0.4709123265237611,14522.616244601566,18120950865.225185,511.59518921595105,30311.665036582424,hiphop
9431675772.529942,511.6888930400196,30393.20891764005,12617257339.604239,0.4510937000432201,18307.172443953546,4544539009.429067,511.82932536357157,25909.970659655817,hiphop
11290953932.082464,511.71970225882575,26194.135339868335,10889287777.805141,0.26869864295286744,11816.83644610824,7835581269.102434,511.81081445740506,24044.639396187467,hiphop
15855760460.18388,511.5585059717387,25213.43373701153,12343595771.632996,0.8125104027228608,12236.50178672576,13463490772.502686,511.7147059999983,23253.94422631,hiphop
11983646706.82991,511.6934710102578,27090.44138626559,11009405865.619535,0.3102332093626527,11758.965784949469,8194377599.35719,511.79486140822695,26223.10330293642,hiphop
25205362444.792316,511.5480255930086,31845.099910292556,41116004470.68021,0.6576027240473731,29028.5650016341,4890724054.960349,511.7963886227236,25442.402350942495,hiphop
23034467854.95862,511.7753004641381,37929.94478298486,35830260040.630714,0.3143378514522178,30621.66592452453,6034121209.616538,511.8957904890932,30656.094185133195,hiphop
31090666392.233406,511.64753541428024,43583.006079043545,44279327291.11152,0.5668042292337454,24782.93926313844,17976582828.856174,511.85271904256604,38444.37376603045,hiphop
26423340845.65126,511.61600410194603,34679.50278242819,43570094711.83638,0.43628062895121833,29434.013685000653,7351546921.146816,511.76167628377976,24706.651069665117,hiphop
22359326631.65355,511.725182572019,35747.218555515705,28869191136.05481,0.34099869452274106,27481.15838719423,7387559217.592182,511.84721889366784,29336.814773926446,hiphop
29007283397.541218,511.651167595837,43615.6361055109,38917858921.685684,0.5155430076032964,27406.40825160432,10275412816.197319,511.8565227093726,37101.17118518235,hiphop
27884668250.812286,511.6693561495151,48574.81116179289,33098655272.04376,0.3934105481629847,28989.745342213744,14439263419.895128,511.78738564593135,44430.0510480255,hiphop
35221463147.05369,511.82421046579736,58842.99729096234,27576294658.80713,0.17540703821353248,25475.0509751719,26881581274.253647,511.882301517756,54879.883043485344,hiphop
36262229615.642975,511.7825801765367,51187.77112374088,25586982077.61653,0.19747527867829762,29137.64991334145,30330648250.298912,511.84156349187174,43807.28425840982,hiphop
30256678568.700317,511.8115909139853,47727.2493439174,26487129681.80133,0.23252716282471725,21251.051639071982,24342362244.98748,511.87172252278594,45324.479489929174,hiphop
33790716143.036915,511.6077404969073,37418.56762311728,38830883194.5241,0.5059394161412256,20574.86108640652,20576044581.01248,511.77538692879295,33598.132214429635,hiphop
44573082691.38379,511.56877450893455,53842.25521654247,37673094397.147064,1.0519890987414584,25721.301299673392,35980352312.67772,511.8257272489435,49531.92788728571,hiphop
23625181111.240715,511.74291799076497,46694.373313296834,28071734473.450085,0.4058271931110059,22987.84372326718,13538408246.01291,511.8886379967573,40886.21373642235,hiphop
22632055927.58625,511.71974143745854,40693.879290258905,35782270574.59806,0.4918904237688298,26662.335855247642,9127818256.95063,511.87877471243957,34781.225206990865,hiphop
36745174158.91349,510.33356940800803,38730.22182952729,49225637452.194565,3.3599407571140287,30427.64532896317,10462885038.43467,511.07461435775826,30032.13090220094,hiphop
27934550524.73332,511.77505009728185,62585.66142400302,27779017875.47883,0.3068737201739325,34465.389771482536,20624675781.716805,511.866805589264,57108.13396690614,hiphop
36745174158.91349,510.33356940800803,38730.22182952729,49225637452.194565,3.3599407571140287,30427.64532896317,10462885038.43467,511.07461435775826,30032.13090220094,hiphop
12494863617.067766,511.5145773106074,43341.991088357536,12779162205.87512,0.6565869620882844,27801.44641416958,8059450384.386707,511.7281806635523,38313.41161262024,hiphop
9002958092.73154,511.7013782099593,39720.54921973862,3668290909.720627,0.30726413524023766,11790.877722541234,9555195277.809254,511.79115737262305,41062.3335886913,hiphop
4817447892.717213,508.6125388443506,13243.64593582771,9572061080.56237,4.444347299871864,8378.704772046787,1419967992.129727,510.41374758306756,10890.698737344384,hiphop
5521788110.868509,511.4747205895773,22592.20832528781,5253517752.915088,0.33481442553663054,7026.002393036232,3393572941.94703,511.52973199866636,21852.071597115013,hiphop
6520751895.934189,511.5535930999364,24296.23793399259,6774118163.089214,0.3072626204151079,10263.658811454981,4049730185.8739414,511.6332011857075,23235.02372037781,hiphop
2686316907.7041373,511.20130746952987,11480.793252164438,4481013272.228899,1.727612034574311,6629.309395746883,772674275.069308,511.45666905953306,10039.926205349337,hiphop
5784521564.402788,511.7209082791464,25314.00846019042,5973305286.815907,0.1769619196877273,9880.272771865353,4275252701.1808066,511.74767493006135,23831.631391065024,hiphop
3510536445.0884776,511.4818481574032,13323.919651712047,5304834209.309555,0.4091456698258151,7653.878633025083,1738034120.3711243,511.5816925880674,11511.377195032801,hiphop
6295862715.387224,511.48877592059597,17470.608524026193,6920021291.3374815,0.35433276161391647,9814.337809321418,3342967729.612998,511.5576265235519,14313.712475185475,hiphop
6853522791.563975,511.68312963122895,32506.965210548573,6688222806.7521,0.3255591858616762,12708.682326981692,4921620727.301938,511.7958344550305,31346.93168899681,hiphop
7257466325.957415,511.73438037582827,28924.284131856828,6289966757.738848,0.1982021275015756,14024.517993101852,5121255912.858738,511.7769156692047,26041.27905120416,hiphop
