Power_mean,Amplitude_mean,Weighted_Mean_Frequency_mean,Power_std,Amplitude_std,Weighted_Mean_Frequency_std,Power_median,Amplitude_median,Weighted_Mean_Frequency_median,Genre
7490091379.1253605,503.82989750649244,36422.70657346611,7923198157.633548,12.411208213602933,23766.78049254605,4143738727.707664,507.43652099430335,31319.99938834901,hiphop
36994904471.734276,511.5782534638898,51850.488232853546,26082576246.588474,0.41044330805751006,25941.342571078032,33724845855.293915,511.69852363806876,50261.44700356213,hiphop
4060235632.5499506,509.88019627658014,15668.959422363021,3751001484.9154143,1.72361621615167,8406.48419308074,2866213817.994855,510.3946125459941,14306.95562177469,hiphop
34741475970.96724,509.9837521316579,61427.13219864123,38032409952.61696,2.600149425321843,37412.66474784353,17863804771.41171,511.1713838028996,50532.36498410731,hiphop
22799600656.785843,510.94994577746223,33967.90241093876,30443996125.30584,1.463261773042263,28455.136233702946,9376242192.994398,511.51773200094806,28227.338254602,hiphop
30214732850.976,511.4208657501688,67467.25509808386,20844520435.938564,0.47679822567203617,23020.87919388447,26213986474.037163,511.5291158074636,65529.70239238992,hiphop
36662004506.87625,510.11026574496276,57795.54736221723,35406445938.13723,2.7545435946315426,38776.07883420638,23745852151.059906,511.1185809275001,50910.15474044216,hiphop
32805966971.03788,510.9062940396112,51854.01591904476,26533322148.731274,1.496098382167796,27775.003597329654,25932982416.87481,511.49966030320365,46667.01901764859,hiphop
11477592356.872765,511.37542417785426,35234.460416377544,15156280106.830593,0.7558745479159413,22074.430207657224,5568784978.250298,511.631868814769,30943.060461811005,hiphop
23143467199.604042,510.1912354646438,40187.65446208707,24343433829.175514,1.8570351458135748,28018.22909334062,18098535311.694725,510.8048674146782,35918.25524767587,hiphop
14394117876.932669,511.5863764204099,38589.866189807915,20090905382.75133,0.545079407230621,16402.93339196203,7255377298.846447,511.7813740720731,35001.310546570254,hiphop
19776032003.00483,511.61875537562497,42185.127946153225,21491130959.042393,0.35136007501044403,21880.20539229228,12515926103.938198,511.72618016746986,38308.72719436417,hiphop
18503456140.32029,511.44618605641847,43355.361734225735,17346381579.04697,0.5654263082118863,17584.973152642415,12738320895.519539,511.6156458617184,39537.61027696295,hiphop
8010449029.385634,509.6141385364452,28921.121619851507,5186423491.508853,2.45350110650453,13250.042005279827,6902086056.802847,510.4429162304723,24889.152596418236,hiphop
15817229665.266613,511.71017688285974,51338.135548451435,12294182845.103758,0.46553966291276583,20829.825485514644,11851163002.424839,511.80598506237766,49183.76169054088,hiphop
9761175143.49915,511.5615768377219,33780.29531579499,13345347912.85878,0.5121092590909958,17597.665089698425,4580839309.980394,511.73381402848736,29127.787536557502,hiphop
21318781768.368706,511.66363605841275,40739.26387299451,23769288195.325405,0.4390603247877376,27846.44032269812,12531884603.350067,511.81050638649094,34881.382641738215,hiphop
17252481622.730213,511.3083655369865,38706.525413218274,17095339049.655655,0.9363718051794866,18410.767380712798,11696720584.417624,511.688118237185,35528.49706416504,hiphop
14401467584.604406,511.5790261036989,33746.28956748167,17514135728.2156,0.5947994962785869,21020.26538664796,6978465011.251602,511.7625977898093,30585.94435659852,hiphop
25968303697.506546,510.4781139573782,50145.43161299983,39495114676.26717,1.0663635590255243,46806.67128684202,14009786587.497517,510.77443103252693,36932.35300594315,hiphop
15065860376.674433,511.1661372456277,34322.20578015998,13172768197.28027,0.8122685523691351,20376.044933175446,10828985307.671503,511.42164142942454,30045.85110689244,hiphop
25366990241.911003,511.4379253481895,59952.937431988685,18459818458.403385,1.0441499468496322,21967.28260626088,21132001251.73079,511.6218317439645,56410.71305910082,hiphop
14287279760.240486,511.43200927428535,34504.788071546594,18968985823.82273,1.248886088323416,20626.508014381056,8846021128.520313,511.650135488165,31798.110418313925,hiphop
16316089370.214203,511.59385128414846,49016.01878024103,13066250142.319395,0.4582965596131064,16490.316106071023,11912136253.905481,511.74672921613626,45069.84637219942,hiphop
16086516680.243464,510.59405584845337,44965.244629313696,20755616638.962334,1.2415445823604045,28292.76470584347,8955253014.219173,510.95771945407284,40277.62216074474,hiphop
